gen,ind,genome,fitness
95,0,0,66.038055
95,1,0,65.26444
95,2,0,65.593414
95,3,0,65.25647
95,4,0,65.25133
95,5,0,65.34456
95,6,0,65.36693
95,7,0,59.796368
95,8,0,65.39924
95,9,0,65.34626
95,10,0,65.29566
95,11,0,65.40676
95,12,0,65.468025
95,13,0,65.36105
95,14,0,65.288994
95,15,0,65.190155
95,16,0,65.39512
95,17,0,65.437965
95,18,0,65.58502
95,19,0,65.299225
95,20,0,65.244446
95,21,0,65.21412
95,22,0,65.20683
95,23,0,65.414566
95,24,0,65.48474
95,25,0,65.290886
95,26,0,65.28869
95,27,0,65.39525
95,28,0,65.36652
95,29,0,65.27269
95,30,0,65.25321
95,31,0,65.32325
95,32,0,65.32192
95,33,0,65.24295
95,34,0,65.3325
95,35,0,65.40028
95,36,0,66.038055
95,37,0,65.26744
95,38,0,65.276695
95,39,0,65.35658
95,40,0,65.295044
95,41,0,65.563126
95,42,0,65.58655
95,43,0,65.28302
95,44,0,65.44335
95,45,0,65.414856
95,46,0,65.60241
95,47,0,65.27225
95,48,0,57.349
95,49,0,65.34052
95,50,0,65.429924
95,51,0,65.46498
95,52,0,65.25736
95,53,0,65.309685
95,54,0,65.33094
95,55,0,65.42926
95,56,0,65.3039
95,57,0,65.36691
95,58,0,65.58389
95,59,0,65.061516
95,60,0,65.35284
95,61,0,65.416466
95,62,0,65.42647
95,63,0,65.4667
95,64,0,65.27905
95,65,0,65.24346
95,66,0,65.240074
95,67,0,65.16054
95,68,0,65.30906
95,69,0,65.40656
95,70,0,65.33823
95,71,0,65.27161
95,72,0,65.33567
95,73,0,65.492615
95,74,0,65.253654
95,75,0,65.43427
95,76,0,65.33783
95,77,0,65.453926
95,78,0,65.230644
95,79,0,65.230705
95,80,0,65.32853
95,81,0,65.375725
95,82,0,65.368546
95,83,0,65.439224
95,84,0,65.39344
95,85,0,65.35234
95,86,0,65.278015
95,87,0,65.215904
95,88,0,65.40479
95,89,0,65.26273
95,90,0,65.468956
95,91,0,65.44597
95,92,0,65.2695
95,93,0,65.33738
95,94,0,65.39207
95,95,0,65.62332
95,96,0,65.26432
95,97,0,65.28188
95,98,0,65.21721
95,99,0,65.212364
95,100,0,65.44516
