gen,ind,genome,fitness
425,0,0,66.38888
425,1,0,65.24873
425,2,0,65.25054
425,3,0,65.249825
425,4,0,65.25067
425,5,0,65.18468
425,6,0,65.29802
425,7,0,65.24843
425,8,0,65.236946
425,9,0,65.345924
425,10,0,65.28811
425,11,0,65.249084
425,12,0,65.2509
425,13,0,65.22841
425,14,0,65.25019
425,15,0,63.908176
425,16,0,65.31054
425,17,0,65.33445
425,18,0,65.293236
425,19,0,65.33345
425,20,0,65.24437
425,21,0,65.25
425,22,0,65.26344
425,23,0,65.250885
425,24,0,65.16704
425,25,0,65.29125
425,26,0,65.300064
425,27,0,65.37241
425,28,0,65.25052
425,29,0,65.25048
425,30,0,65.25074
425,31,0,64.36829
425,32,0,65.25073
425,33,0,65.25
425,34,0,65.250885
425,35,0,65.285614
425,36,0,65.25
425,37,0,65.2499
425,38,0,64.89214
425,39,0,65.03884
425,40,0,65.159096
425,41,0,65.21277
425,42,0,65.24356
425,43,0,65.25068
425,44,0,65.24022
425,45,0,65.317924
425,46,0,65.21823
425,47,0,65.23853
425,48,0,65.23229
425,49,0,65.25076
425,50,0,65.25
425,51,0,65.24716
425,52,0,65.166
425,53,0,65.13083
425,54,0,65.12412
425,55,0,65.25052
425,56,0,65.273705
425,57,0,65.23562
425,58,0,64.344154
425,59,0,65.25068
425,60,0,64.87829
425,61,0,65.345924
425,62,0,65.250404
425,63,0,65.248344
425,64,0,65.25066
425,65,0,65.302246
425,66,0,65.250626
425,67,0,65.25075
425,68,0,65.30835
425,69,0,65.25075
425,70,0,65.250275
425,71,0,65.250885
425,72,0,65.25968
425,73,0,65.208206
425,74,0,65.29439
425,75,0,65.25069
425,76,0,65.24978
425,77,0,61.965137
425,78,0,64.96966
425,79,0,65.24861
425,80,0,65.25075
425,81,0,65.24955
425,82,0,65.25051
425,83,0,65.11188
425,84,0,65.25075
425,85,0,65.277985
425,86,0,65.25076
425,87,0,65.328514
425,88,0,65.176254
425,89,0,65.24922
425,90,0,65.25073
425,91,0,65.25067
425,92,0,65.32178
425,93,0,65.132706
425,94,0,64.88019
425,95,0,65.22175
425,96,0,61.588993
425,97,0,65.2501
425,98,0,65.2351
425,99,0,65.17009
425,100,0,65.22119
