gen,ind,genome,fitness
35,0,0,66.038055
35,1,0,65.4394
35,2,0,65.22253
35,3,0,65.28244
35,4,0,65.198975
35,5,0,65.27446
35,6,0,65.262146
35,7,0,65.28525
35,8,0,65.34143
35,9,0,65.18702
35,10,0,65.30936
35,11,0,65.28463
35,12,0,65.32345
35,13,0,65.24561
35,14,0,65.26039
35,15,0,65.21085
35,16,0,65.252655
35,17,0,65.26622
35,18,0,65.15731
35,19,0,65.20334
35,20,0,65.23112
35,21,0,65.25728
35,22,0,65.26785
35,23,0,65.21164
35,24,0,65.33035
35,25,0,65.299416
35,26,0,65.23572
35,27,0,65.24339
35,28,0,65.325554
35,29,0,65.287926
35,30,0,64.73174
35,31,0,65.23715
35,32,0,65.28045
35,33,0,63.548527
35,34,0,65.263336
35,35,0,65.25969
35,36,0,65.30572
35,37,0,65.242874
35,38,0,65.4511
35,39,0,65.32997
35,40,0,65.29232
35,41,0,65.247375
35,42,0,65.25499
35,43,0,65.24702
35,44,0,65.25968
35,45,0,65.28764
35,46,0,65.27194
35,47,0,65.308266
35,48,0,65.227135
35,49,0,65.23776
35,50,0,65.19115
35,51,0,65.35771
35,52,0,65.25529
35,53,0,65.37137
35,54,0,65.23527
35,55,0,65.25
35,56,0,65.170334
35,57,0,55.476303
35,58,0,65.23617
35,59,0,65.22671
35,60,0,65.457825
35,61,0,65.341644
35,62,0,65.2339
35,63,0,65.2646
35,64,0,59.18722
35,65,0,65.257965
35,66,0,65.214874
35,67,0,65.30089
35,68,0,65.354614
35,69,0,65.19932
35,70,0,65.22367
35,71,0,65.25809
35,72,0,65.20001
35,73,0,65.24739
35,74,0,65.34588
35,75,0,65.275116
35,76,0,65.29683
35,77,0,65.17185
35,78,0,65.31208
35,79,0,65.24193
35,80,0,64.10009
35,81,0,65.27665
35,82,0,65.2102
35,83,0,65.19586
35,84,0,65.23918
35,85,0,65.25626
35,86,0,65.22593
35,87,0,65.2154
35,88,0,65.19046
35,89,0,65.24634
35,90,0,65.13229
35,91,0,65.244385
35,92,0,65.35228
35,93,0,65.1764
35,94,0,64.602554
35,95,0,65.228035
35,96,0,65.15531
35,97,0,65.23171
35,98,0,65.262955
35,99,0,65.19402
35,100,0,61.870144
