gen,ind,genome,fitness
473,0,0,73.52564
473,1,0,68.02489
473,2,0,67.01306
473,3,0,66.82782
473,4,0,67.4529
473,5,0,67.92444
473,6,0,66.33172
473,7,0,69.09298
473,8,0,68.53976
473,9,0,66.35274
473,10,0,65.897194
473,11,0,66.124954
473,12,0,66.52595
473,13,0,67.98516
473,14,0,67.41826
473,15,0,67.4476
473,16,0,66.401
473,17,0,66.6653
473,18,0,65.43604
473,19,0,68.43397
473,20,0,68.339836
473,21,0,67.060974
473,22,0,65.936714
473,23,0,65.45274
473,24,0,68.22375
473,25,0,67.60751
473,26,0,69.27996
473,27,0,67.52902
473,28,0,66.67762
473,29,0,66.9128
473,30,0,69.34323
473,31,0,65.220245
473,32,0,69.26737
473,33,0,66.05394
473,34,0,67.456406
473,35,0,67.21705
473,36,0,65.31237
473,37,0,67.699135
473,38,0,65.46136
473,39,0,71.00048
473,40,0,69.086716
473,41,0,66.924614
473,42,0,66.30729
473,43,0,68.26735
473,44,0,69.6168
473,45,0,67.07895
473,46,0,68.93689
473,47,0,65.34113
473,48,0,65.161125
473,49,0,68.75212
473,50,0,66.09653
473,51,0,65.522705
473,52,0,65.43145
473,53,0,65.62908
473,54,0,69.68629
473,55,0,66.10419
473,56,0,67.08094
473,57,0,66.29847
473,58,0,65.626915
473,59,0,69.577194
473,60,0,69.151505
473,61,0,67.19669
473,62,0,67.041
473,63,0,65.250755
473,64,0,69.00257
473,65,0,66.97655
473,66,0,68.19417
473,67,0,67.927444
473,68,0,65.786736
473,69,0,65.95389
473,70,0,67.6334
473,71,0,66.4459
473,72,0,66.34943
473,73,0,65.50663
473,74,0,65.26037
473,75,0,68.048485
473,76,0,68.64611
473,77,0,69.08464
473,78,0,68.784515
473,79,0,67.254974
473,80,0,68.74753
473,81,0,67.78604
473,82,0,65.924225
473,83,0,66.74503
473,84,0,68.696045
473,85,0,65.86026
473,86,0,64.80509
473,87,0,66.30217
473,88,0,67.915405
473,89,0,67.08398
473,90,0,65.76344
473,91,0,65.56526
473,92,0,68.01652
473,93,0,67.096275
473,94,0,67.73539
473,95,0,66.24005
473,96,0,67.39836
473,97,0,66.90349
473,98,0,65.31826
473,99,0,66.97276
473,100,0,66.4348
